000620000000087040010940623679150204042760015105200760427030186960012450500000000,354621879296387541718945623679158234842763915135294768427539186963812457581476392,-17934,80,-1,63,-1,43,-1,-1,-1,50,63
003006710450801020006072500300718059005204060908005400009020080041600392502089647,293546718457831926186972534364718259715294863928365471679423185841657392532189647,-18931,80,-1,70,56,-1,74,70,-1,62,62
302601485615830000070529603063418007058790024049352160936240851487165902521980700,392671485615834279874529613263418597158796324749352168936247851487165932521983746,-33774,80,-1,-1,-1,-1,67,-1,-1,-1,-1
500873900894520017736401852407309680085162473000000095200637108000005006671284539,512873964894526317736491852427359681985162473163748295259637148348915726671284539,-30259,80,-1,53,-1,-1,-1,-1,-1,-1,-1
806270430142908075000600209718590306905703010020086057259360000681400793473819562,896275431142938675537641289718594326965723814324186957259367148681452793473819562,-26702,80,-1,64,55,-1,70,64,-1,-1,-1
000070260007426910002089704503042800000003651760500302000057000008231590005864127,941375268837426915652189734513642879284793651769518342126957483478231596395864127,-12953,80,-1,67,-1,44,-1,-1,-1,70,65
230065000000071035160940700600082470400706518008104060019407826846309157572600000,237865941984271635165943782691582473423796518758134269319457826846329157572618394,-20924,80,-1,63,-1,48,-1,-1,-1,60,61
140008006900001082005074103704906320680102000203047610376029001598710264421685900,142398576937561482865274193714956328689132745253847619376429851598713264421685937,-24938,80,-1,72,65,57,-1,-1,-1,59,64
501067000980000607736108500000710806007680451608000372063571924279846135054030768,541967283982354617736128549425713896397682451618495372863571924279846135154239768,-19981,80,-1,71,-1,65,73,72,-1,67,54
600801529359720008010609040284506000035148090060000050000002065070965080526487931,647831529359724618812659347284596173735148296961273854498312765173965482526487931,-19802,80,-1,57,56,60,75,-1,-1,71,64
475600103106250079092070050021800094040010307900000081000320000034789615859164732,475698123186253479392471856721836594548912367963547281617325948234789615859164732,-24616,80,-1,61,59,-1,69,-1,-1,62,53
978413502402658900001902003180520090704139620290784030629841357847395200005267489,978413562432658971561972843183526794754139628296784135629841357847395216315267489,-33774,80,-1,-1,-1,-1,-1,71,-1,-1,-1
935000071468731529271409863709042006043106780610073940394627158007380694856900000,935268471468731529271459863789542316543196782612873945394627158127385694856914237,-33625,80,-1,67,-1,-1,-1,-1,-1,-1,-1
073000401900300600240700809704095210802140067006802354380000140020060793060931500,673589421918324675245716839734695218852143967196872354389257146521468793467931582,-20963,80,-1,51,53,49,-1,-1,-1,-1,49
020036501065070490137049862004600007370405910098703645051307200000001000000050006,429836571865172493137549862514698327376425918298713645951367284643281759782954136,-15174,80,-1,60,-1,42,-1,-1,-1,68,-1
250604010013279546764005800007061259021943687986052100105036928640100305398527461,259684713813279546764315892437861259521943687986752134175436928642198375398527461,-33774,80,-1,-1,-1,-1,-1,62,-1,-1,-1
605389000034160529709204638950043280472006390308592714500021043143975802296438150,625389471834167529719254638951743286472816395368592714587621943143975862296438157,-33820,80,-1,-1,-1,-1,62,-1,-1,-1,-1
007050340495031082008294700016987450380020070709600021900000508500300194841569237,127856349495731682638294715216987453384125976759643821973412568562378194841569237,-27621,80,-1,52,-1,51,75,-1,-1,53,-1
